sample,category,best_length,max_r2
ERR10114878,external_ancient,96,0.9692757547566482
ERR10114879,external_ancient,94,0.9841804419710042
ERR10114880,external_ancient,97,0.9661309560708884
ERR10114881,external_ancient,73,0.8314670133894423
ERR10114882,external_ancient,97,0.9584980601920585
ERR10114883,external_ancient,94,0.9680889748638455
ERR10493277,external_ancient,83,0.9224867708520945
ERR10493279,external_ancient,83,0.9905318106649581
ERR10493281,external_ancient,86,0.9936302868529493
ERR10493283,external_ancient,74,0.9642717180486761
ERR10493285,external_ancient,84,0.9340268932085475
ERR10493287,external_ancient,78,0.9462627372628883
ERR10493289,external_ancient,87,0.8961922962953102
ERR10493291,external_ancient,75,0.9474009148810854
ERR10493292,external_ancient,87,0.974900610464937
ERR10493294,external_ancient,84,0.9711633241151265
ERR10493297,external_ancient,81,0.9655333886277563
ERR10493299,external_ancient,84,0.9784998180951885
ERR10493301,external_ancient,87,0.9875464507067646
ERR10493303,external_ancient,81,0.9701963279638061
ERR10493304,external_ancient,90,0.9815747816124386
ERR10493306,external_ancient,87,0.9767212084184986
ERR10493308,external_ancient,83,0.9815510671944708
ERR10493310,external_ancient,83,0.9491466752160486
ERR10493311,external_ancient,84,0.8766955381395313
ERR10493312,external_ancient,86,0.9500011452131776
ERR10493314,external_ancient,87,0.9564709172407422
ERR10493316,external_ancient,87,0.9863956143899156
ERR10493318,external_ancient,93,0.9912538172918801
ERR10493320,external_ancient,84,0.953839687694884
ERR10493322,external_ancient,81,0.7451427834757692
ERR10493324,external_ancient,84,0.729451333021935
ERR10493326,external_ancient,80,0.9467492027185594
ERR10493328,external_ancient,83,0.9734024840118098
ERR10493330,external_ancient,88,0.8284955814904291
ERR10493332,external_ancient,45,0.2702515084153353
ERR10493333,external_ancient,50,0.7252526409312378
ERR10493334,external_ancient,45,0.23256340489946822
ERR10493335,external_ancient,31,0.15153001880081216
ERR10493336,external_ancient,45,0.12387159422171629
ERR10493337,external_ancient,50,0.7463070944098875
ERR10493338,external_ancient,31,0.2291338908508309
ERR10493339,external_ancient,31,0.1952567848380637
ERR10493340,external_ancient,31,0.2560120012709304
ERR10493341,external_ancient,82,0.9689581866071063
ERR10493343,external_ancient,50,0.8783861407313708
ERR10493344,external_ancient,51,0.6304911322252406
ERR10493345,external_ancient,51,0.6423114632403046
ERR10493346,external_ancient,45,0.2702515084153353
ERR10493347,external_ancient,45,0.16156095626482364
ERR10493348,external_ancient,30,0.15889307979205303
ERR10493349,external_ancient,44,0.16913836490123865
ERR10493357,external_ancient,66,0.26848644685274736
ERR10493358,external_ancient,53,0.28228979245335445
ERR10493359,external_ancient,53,0.31087991781627733
ERR10493360,external_ancient,86,0.9650526506831424
ERR10493361,external_ancient,83,0.9608925701259247
ERR10493362,external_ancient,74,0.975717568963489
ERR10493363,external_ancient,86,0.9135427585316741
ERR10878152,external_ancient,72,0.9306311032202192
ERR10878153,external_ancient,79,0.9928032161205039
ERR10878154,external_ancient,79,0.5007283093810452
ERR10878155,external_ancient,79,0.9824773844149185
ERR10878156,external_ancient,79,0.994709399955271
ERR10878157,external_ancient,79,0.9891437740952839
ERR10878158,external_ancient,79,0.9654121697536879
ERR10878159,external_ancient,75,0.6865925246351233
ERR10878160,external_ancient,79,0.6178082955594164
ERR10878162,external_ancient,100,0.3242934692309666
ERR10878163,external_ancient,100,0.2742937513209916
ERR12074344,external_ancient,101,0.11277502046407584
ERR12074345,external_ancient,101,0.25624072056201574
ERR12074346,external_ancient,101,0.15015758298241738
ERR12074348,external_ancient,101,0.22846814531859647
ERR12074349,external_ancient,101,0.07814347093690799
ERR12074350,external_ancient,101,0.16603552435711455
ERR12074351,external_ancient,101,0.1398182281042956
ERR12074352,external_ancient,101,0.11312441034725443
ERR12074353,external_ancient,101,0.15886000911568693
ERR12074354,external_ancient,101,0.1505653287425478
ERR12074356,external_ancient,101,0.15194995282281035
ERR12074357,external_ancient,101,0.11319967594323302
ERR12074358,external_ancient,101,0.19989137638447038
ERR12074359,external_ancient,101,0.15521446980296744
ERR12074360,external_ancient,101,0.08234476193194351
ERR12074361,external_ancient,101,0.13487616916653322
ERR12074362,external_ancient,101,0.11412196199902325
ERR12074365,external_ancient,101,0.03658853179048885
ERR12074366,external_ancient,101,0.05631685155029409
ERR12074367,external_ancient,101,0.18904234712453763
ERR12074369,external_ancient,101,0.19917402272035492
ERR12074370,external_ancient,101,0.1679225352765706
ERR12074372,external_ancient,101,0.2285945208409031
ERR12074374,external_ancient,101,0.050624659050692966
ERR12074376,external_ancient,101,0.13566567688838171
ERR12074377,external_ancient,101,0.14002226461701064
ERR12074378,external_ancient,101,0.06150664958139812
ERR12074380,external_ancient,101,0.11404628184296872
ERR12074382,external_ancient,101,0.16643723936537655
ERR12074383,external_ancient,101,0.026777954565957635
ERR12074384,external_ancient,101,0.1103938357583166
ERR12074385,external_ancient,101,0.1785308971282525
ERR12074386,external_ancient,101,0.14718997338085985
ERR12074389,external_ancient,101,0.06785740457862366
ERR12074390,external_ancient,101,0.15009495767764078
ERR12074391,external_ancient,101,0.09195224480666797
ERR12074392,external_ancient,101,0.09663136857268276
ERR12074393,external_ancient,101,0.07194682642961264
ERR12074394,external_ancient,101,0.21017894482760785
ERR12074396,external_ancient,101,0.03310468299525618
ERR12074397,external_ancient,101,0.2202871412879095
ERR12074398,external_ancient,101,0.20327345397920576
ERR12814413,external_ancient,150,0.0678777271514909
ERR12814414,external_ancient,150,0.06643801255404716
ERR12814415,external_ancient,150,0.40087245461374654
ERR12814416,external_ancient,150,0.04066253260539526
ERR12814417,external_ancient,150,0.47037797685687494
ERR12814418,external_ancient,150,0.5200327679282768
ERR12814419,external_ancient,150,0.608283573879379
ERR12814422,external_ancient,150,0.09615309914056552
ERR12814423,external_ancient,150,0.3580354560976662
ERR12814424,external_ancient,150,0.5028855101669238
ERR12814425,external_ancient,125,0.47284485324085873
ERR12814427,external_ancient,125,0.10071839167948632
ERR12814428,external_ancient,150,0.46398200773633236
ERR12814429,external_ancient,125,0.42094359753906985
ERR12814430,external_ancient,150,0.06769108213144182
ERR12814431,external_ancient,125,0.04989244047792257
ERR12814432,external_ancient,125,0.026612138566418475
ERR12814433,external_ancient,150,0.04745792753398281
ERR12814434,external_ancient,125,0.031732825874932646
ERR12814435,external_ancient,125,0.41320162860913734
ERR12814436,external_ancient,150,0.38702769156174965
ERR12814437,external_ancient,125,0.28994913252863463
ERR12814438,external_ancient,150,0.15726218279542636
ERR12814439,external_ancient,125,0.060359497095054115
ERR12814440,external_ancient,150,0.12380737704806447
ERR12814441,external_ancient,125,0.03887866074305332
ERR12814442,external_ancient,125,0.47585723110872874
ERR12814443,external_ancient,150,0.47763286130114424
ERR12814444,external_ancient,150,0.28963419253246425
ERR12814446,external_ancient,150,0.6514173862767245
ERR12814447,external_ancient,125,0.48758328312531285
ERR12814448,external_ancient,150,0.501089071514202
ERR12814449,external_ancient,125,0.3635133094907075
ERR12814450,external_ancient,150,0.33706839372025693
ERR12814451,external_ancient,150,0.037597846135647345
ERR12814452,external_ancient,125,0.48667491622295783
ERR12814453,external_ancient,150,0.45633108676088185
ERR12814454,external_ancient,125,0.04912278912313062
ERR12814456,external_ancient,125,0.2259951030350107
ERR12814457,external_ancient,150,0.5036138329651741
ERR12814458,external_ancient,150,0.3739266793450637
ERR12814460,external_ancient,125,0.32283126612767843
ERR12814461,external_ancient,125,0.42248685008122866
ERR12814462,external_ancient,125,0.3070777403870779
ERR12814463,external_ancient,150,0.542222815775177
ERR12814464,external_ancient,125,0.3779989051178929
ERR12814465,external_ancient,150,0.1413102119437425
ERR12814466,external_ancient,125,0.018699662945278223
ERR12814467,external_ancient,125,0.6261682756897798
ERR12814468,external_ancient,125,0.25601778603934666
ERR12814469,external_ancient,150,0.15955949863773808
ERR12814471,external_ancient,125,0.051212444440315086
ERR12814472,external_ancient,150,0.5687964984513096
ERR12814473,external_ancient,125,0.5924521174910132
ERR12814474,external_ancient,150,0.3800685492325493
ERR12814475,external_ancient,150,0.19832789715970447
ERR12814476,external_ancient,125,0.8322167243983793
ERR13950600,external_ancient,100,0.31875776599465233
ERR13950601,external_ancient,100,0.13195834343394958
ERR13950606,external_ancient,100,0.47168059108249927
ERR13950607,external_ancient,100,0.5941530011543563
ERR13950608,external_ancient,100,0.6657700300419528
ERR13950609,external_ancient,100,0.5602827142953049
ERR13950611,external_ancient,100,0.042164306663410034
ERR13950612,external_ancient,100,0.26533191928158906
ERR13950613,external_ancient,100,0.12826991250522304
ERR13950614,external_ancient,100,0.2518201144937655
ERR13950615,external_ancient,100,0.3100003137294882
ERR13950620,external_ancient,100,0.21357854715843186
ERR13950621,external_ancient,100,0.3311387048975355
ERR13950622,external_ancient,100,0.2403949706583229
ERR13950623,external_ancient,100,0.46933702199874866
ERR13950624,external_ancient,100,0.5067457982308816
ERR13950625,external_ancient,100,0.5121274611165784
ERR13950627,external_ancient,100,0.32259173453887136
ERR13950628,external_ancient,100,0.5114673069502804
ERR13950629,external_ancient,100,0.2676316827955671
ERR13950630,external_ancient,101,0.395097541341914
ERR13950631,external_ancient,101,0.24958757834549775
ERR13950632,external_ancient,101,0.2586174829441731
ERR13950633,external_ancient,101,0.4933743420943277
ERR13950634,external_ancient,101,0.49762181958520507
ERR13950635,external_ancient,101,0.5526468662566336
ERR13950637,external_ancient,101,0.163119279616588
ERR13950638,external_ancient,101,0.14385616664867143
ERR13950639,external_ancient,101,0.2751625055649032
ERR13950640,external_ancient,101,0.16105661922293749
ERR13950641,external_ancient,101,0.16006361074609335
ERR13950642,external_ancient,101,0.198405047733269
ERR13950643,external_ancient,101,0.1454463976580033
ERR13950644,external_ancient,101,0.15583790769857395
ERR13950646,external_ancient,101,0.3406306403792959
ERR13950647,external_ancient,101,0.24534726430888507
ERR13950648,external_ancient,101,0.2478548511422502
ERR13950649,external_ancient,101,0.4384896766332236
ERR13950650,external_ancient,101,0.44292690455262806
ERR13950653,external_ancient,101,0.132325782525141
ERR13950654,external_ancient,101,0.2728257261518441
ERR13950655,external_ancient,101,0.0787783518189911
ERR13950658,external_ancient,101,0.3485673348017589
ERR13950659,external_ancient,101,0.1223352672300341
ERR13950660,external_ancient,101,0.13359551656872026
ERR13950661,external_ancient,101,0.44289045470987565
ERR13950662,external_ancient,101,0.4723220051357031
ERR13950663,external_ancient,101,0.3513710551164192
ERR13950664,external_ancient,101,0.37259193792046397
ERR13950665,external_ancient,101,0.14812984985092575
ERR13950666,external_ancient,101,0.2600644714004296
ERR13950667,external_ancient,101,0.18050593782368324
ERR13950668,external_ancient,101,0.45802216679392616
ERR13950669,external_ancient,101,0.4575843572277273
ERR13950670,external_ancient,101,0.2239455975988932
ERR13950671,external_ancient,101,0.2725398924381722
ERR13950673,external_ancient,101,0.42460098611283154
ERR13950674,external_ancient,101,0.3925478811482939
ERR1560012,external_ancient,68,0.8414427648858813
ERR1560013,external_ancient,99,0.9688308286650561
ERR1560014,external_ancient,89,0.9324126096959193
ERR1560015,external_ancient,95,0.9604076973398519
ERR1560016,external_ancient,85,0.4597984874361847
ERR1560017,external_ancient,53,0.7038540447121518
ERR1560018,external_ancient,42,0.42885357191466555
ERR1560019,external_ancient,53,0.7481171095768512
ERR1560020,external_ancient,53,0.7802595069565169
ERR1560021,external_ancient,53,0.8512398719819262
ERR1560022,external_ancient,53,0.7605503997524043
ERR1560023,external_ancient,53,0.5260093832903924
ERR1560024,external_ancient,57,0.24304696600397743
ERR1560025,external_ancient,57,0.7361896743073394
ERR1560093,external_ancient,67,0.8357905009207702
ERR1560094,external_ancient,61,0.8687640330882163
ERR1560095,external_ancient,61,0.7921185058136173
ERR1560096,external_ancient,25,0.15623546027701185
ERR1560097,external_ancient,72,0.11199231201904308
ERR1560098,external_ancient,54,0.6948503171829847
ERR1560099,external_ancient,53,0.6821646160123267
ERR1560100,external_ancient,54,0.690803563102306
ERR1560101,external_ancient,44,0.21469414740180418
ERR1560102,external_ancient,101,0.1983724807626334
ERR1560103,external_ancient,53,0.5480246008710391
ERR1560104,external_ancient,74,0.3019565986024087
ERR1560105,external_ancient,99,0.9557726040988406
ERR1560106,external_ancient,99,0.9827500286189851
ERR1560107,external_ancient,99,0.8494675785777207
ERR1560108,external_ancient,99,0.8502030972626012
ERR1560109,external_ancient,59,0.6507181077419744
ERR1560110,external_ancient,99,0.8629656929102452
ERR1883403,external_ancient,76,0.09172350528463344
ERR1883404,external_ancient,76,0.34181666316869463
ERR1883406,external_ancient,76,0.29450595126431406
ERR1883408,external_ancient,76,0.21032759766163128
ERR1883413,external_ancient,76,0.6575729189053449
ERR1883415,external_ancient,76,0.7948925802107578
ERR1883416,external_ancient,76,0.22656320165775368
ERR1883418,external_ancient,76,0.30053488498560327
ERR1883419,external_ancient,76,0.17860888420205234
ERR1883420,external_ancient,76,0.34824355494417614
ERR1883421,external_ancient,76,0.3052812012820598
ERR1883422,external_ancient,76,0.1474471107531961
ERR1883423,external_ancient,76,0.6326227463811651
ERR1883424,external_ancient,76,0.43361878930570186
ERR1883426,external_ancient,76,0.15219633579654443
ERR1883427,external_ancient,76,0.24245312916950107
ERR1883428,external_ancient,76,0.24213902985931274
ERR1883429,external_ancient,76,0.2729890151346439
ERR1883430,external_ancient,76,0.5507084766788584
ERR1883431,external_ancient,76,0.44701732800945604
ERR1883433,external_ancient,76,0.41542512888919786
ERR1883435,external_ancient,76,0.3223263791238087
ERR1883436,external_ancient,76,0.7120098880215793
ERR1883437,external_ancient,76,0.4009904287683941
ERR1883438,external_ancient,76,0.9787138897000749
ERR1883439,external_ancient,76,0.4924585886364205
ERR1883440,external_ancient,76,0.3649202761876401
ERR1883450,external_ancient,76,0.10681262883763523
ERR1883451,external_ancient,76,0.2438678162109851
ERR1883452,external_ancient,76,0.08575472863799488
ERR1883453,external_ancient,76,0.7333638820569526
ERR1883454,external_ancient,76,0.7094261685702064
ERR1883455,external_ancient,76,0.38414595955783615
ERR1883456,external_ancient,76,0.40737775195484116
ERR1883458,external_ancient,76,0.4862523442814871
ERR1883461,external_ancient,76,0.4047074384478607
ERR1883462,external_ancient,76,0.2266720498846662
ERR1883463,external_ancient,76,0.19777879376753277
ERR1883465,external_ancient,76,0.11984485695591818
ERR1883468,external_ancient,76,0.13111580030118847
ERR1883469,external_ancient,76,0.14676544512999382
ERR1883470,external_ancient,76,0.03459051535358593
ERR1883473,external_ancient,76,0.08901931229200777
ERR1883474,external_ancient,76,0.09974266420167313
ERR1883475,external_ancient,76,0.12575306714476372
ERR1883477,external_ancient,76,0.6899002842549302
ERR1883478,external_ancient,76,0.3326955263105543
ERR1883479,external_ancient,76,0.49531167516933816
ERR1883480,external_ancient,76,0.813653784991637
ERR1883481,external_ancient,76,0.37894309282802596
ERR1883486,external_ancient,76,0.9131828528628297
ERR1894879,external_ancient,81,0.03558025970037909
ERR1894880,external_ancient,81,0.023374702818558912
ERR1894881,external_ancient,81,0.012362254445965226
ERR1894882,external_ancient,81,0.010862018819786823
ERR1894900,external_ancient,101,0.14224282898515653
ERR1894901,external_ancient,101,0.2680105611485665
ERR1894902,external_ancient,101,0.17139431162161303
ERR1894903,external_ancient,101,0.211184950245563
ERR1894904,external_ancient,101,0.2738491932264579
ERR1894905,external_ancient,101,0.04449681445482856
ERR1894906,external_ancient,101,0.10512076216763158
ERR1894907,external_ancient,101,0.012982824100895018
ERR1894908,external_ancient,81,0.014973432541578124
ERR1894909,external_ancient,81,0.014273051984168394
ERR1894910,external_ancient,81,0.01147309535957916
ERR1894911,external_ancient,81,0.012358716727219748
ERR1894912,external_ancient,81,0.20161173857616688
ERR1894913,external_ancient,81,0.2024453999258345
ERR1894914,external_ancient,81,0.03585072971392389
ERR1894915,external_ancient,81,0.03670432792807152
ERR1894916,external_ancient,81,0.01888913407275955
ERR1894917,external_ancient,81,0.019537955029101856
ERR1894918,external_ancient,81,0.04476587158199219
ERR1894919,external_ancient,81,0.04538474294522049
ERR3458788,external_ancient,54,0.20671853175669402
ERR3458790,external_ancient,37,0.28802586583383327
ERR3458791,external_ancient,54,0.34042856522434484
ERR3458792,external_ancient,65,0.7621974550840924
ERR3459718,external_ancient,117,0.10869037769345569
ERR3459719,external_ancient,74,0.8521339485789483
ERR3459720,external_ancient,74,0.8848800123433854
ERR3459723,external_ancient,73,0.6926814389848583
ERR3459724,external_ancient,73,0.7767268118134454
ERR3459725,external_ancient,74,0.8186222615542845
ERR3459727,external_ancient,73,0.9749874285514376
ERR3459728,external_ancient,73,0.9843135041630202
ERR3459729,external_ancient,74,0.7929468171946282
