analysis_accession	status	match_method	AncientMetagenomeDir_accession	project_name
ERR10114878	matched	direct_accession	ERR10114878	Klapper2023
ERR10114879	matched	direct_accession	ERR10114879	Klapper2023
ERR10114880	matched	direct_accession	ERR10114880	Klapper2023
ERR10114881	matched	direct_accession	ERR10114881	Klapper2023
ERR10114882	matched	direct_accession	ERR10114882	Klapper2023
ERR10114883	matched	direct_accession	ERR10114883	Klapper2023
ERR10493277	matched	direct_accession	ERR10493277	Kjaer2022
ERR10493279	matched	direct_accession	ERR10493279	Kjaer2022
ERR10493281	matched	direct_accession	ERR10493281	Kjaer2022
ERR10493283	matched	direct_accession	ERR10493283	Kjaer2022
ERR10493285	matched	direct_accession	ERR10493285	Kjaer2022
ERR10493287	matched	direct_accession	ERR10493287	Kjaer2022
ERR10493289	matched	direct_accession	ERR10493289	Kjaer2022
ERR10493291	matched	direct_accession	ERR10493291	Kjaer2022
ERR10493292	matched	direct_accession	ERR10493292	Kjaer2022
ERR10493294	matched	direct_accession	ERR10493294	Kjaer2022
ERR10493297	matched	direct_accession	ERR10493297	Kjaer2022
ERR10493299	matched	direct_accession	ERR10493299	Kjaer2022
ERR10493301	matched	direct_accession	ERR10493301	Kjaer2022
ERR10493303	matched	direct_accession	ERR10493303	Kjaer2022
ERR10493304	matched	direct_accession	ERR10493304	Kjaer2022
ERR10493306	matched	direct_accession	ERR10493306	Kjaer2022
ERR10493308	matched	direct_accession	ERR10493308	Kjaer2022
ERR10493310	matched	direct_accession	ERR10493310	Kjaer2022
ERR10493311	matched	direct_accession	ERR10493311	Kjaer2022
ERR10493312	matched	direct_accession	ERR10493312	Kjaer2022
ERR10493314	matched	direct_accession	ERR10493314	Kjaer2022
ERR10493316	matched	direct_accession	ERR10493316	Kjaer2022
ERR10493318	matched	direct_accession	ERR10493318	Kjaer2022
ERR10493320	matched	direct_accession	ERR10493320	Kjaer2022
ERR10493322	matched	direct_accession	ERR10493322	Kjaer2022
ERR10493324	matched	direct_accession	ERR10493324	Kjaer2022
ERR10493326	matched	direct_accession	ERR10493326	Kjaer2022
ERR10493328	matched	direct_accession	ERR10493328	Kjaer2022
ERR10493330	matched	direct_accession	ERR10493330	Kjaer2022
ERR10493332	matched	direct_accession	ERR10493332	Kjaer2022
ERR10493333	matched	direct_accession	ERR10493333	Kjaer2022
ERR10493334	matched	direct_accession	ERR10493334	Kjaer2022
ERR10493335	matched	direct_accession	ERR10493335	Kjaer2022
ERR10493336	matched	direct_accession	ERR10493336	Kjaer2022
ERR10493337	matched	direct_accession	ERR10493337	Kjaer2022
ERR10493338	matched	direct_accession	ERR10493338	Kjaer2022
ERR10493339	matched	direct_accession	ERR10493339	Kjaer2022
ERR10493340	matched	direct_accession	ERR10493340	Kjaer2022
ERR10493341	matched	direct_accession	ERR10493341	Kjaer2022
ERR10493343	matched	direct_accession	ERR10493343	Kjaer2022
ERR10493344	matched	direct_accession	ERR10493344	Kjaer2022
ERR10493345	matched	direct_accession	ERR10493345	Kjaer2022
ERR10493346	matched	direct_accession	ERR10493346	Kjaer2022
ERR10493347	matched	direct_accession	ERR10493347	Kjaer2022
ERR10493348	matched	direct_accession	ERR10493348	Kjaer2022
ERR10493349	matched	direct_accession	ERR10493349	Kjaer2022
ERR10493357	matched	direct_accession	ERR10493357	Kjaer2022
ERR10493358	matched	direct_accession	ERR10493358	Kjaer2022
ERR10493359	matched	direct_accession	ERR10493359	Kjaer2022
ERR10493360	matched	direct_accession	ERR10493360	Kjaer2022
ERR10493361	matched	direct_accession	ERR10493361	Kjaer2022
ERR10493362	matched	direct_accession	ERR10493362	Kjaer2022
ERR10493363	matched	direct_accession	ERR10493363	Kjaer2022
ERR10878152	matched	direct_accession	ERR10878152	Zampirolo2024
ERR10878153	matched	direct_accession	ERR10878153	Zampirolo2024
ERR10878154	matched	direct_accession	ERR10878154	Zampirolo2024
ERR10878155	matched	direct_accession	ERR10878155	Zampirolo2024
ERR10878156	matched	direct_accession	ERR10878156	Zampirolo2024
ERR10878157	matched	direct_accession	ERR10878157	Zampirolo2024
ERR10878158	matched	direct_accession	ERR10878158	Zampirolo2024
ERR10878159	matched	direct_accession	ERR10878159	Zampirolo2024
ERR10878160	matched	direct_accession	ERR10878160	Zampirolo2024
ERR10878162	matched	direct_accession	ERR10878162	Zampirolo2024
ERR10878163	matched	direct_accession	ERR10878163	Zampirolo2024
ERR12074344	matched	direct_accession	ERR12074344	Buchwald2024
ERR12074345	matched	direct_accession	ERR12074345	Buchwald2024
ERR12074346	matched	direct_accession	ERR12074346	Buchwald2024
ERR12074348	matched	direct_accession	ERR12074348	Buchwald2024
ERR12074349	matched	direct_accession	ERR12074349	Buchwald2024
ERR12074350	matched	direct_accession	ERR12074350	Buchwald2024
ERR12074351	matched	direct_accession	ERR12074351	Buchwald2024
ERR12074352	matched	direct_accession	ERR12074352	Buchwald2024
ERR12074353	matched	direct_accession	ERR12074353	Buchwald2024
ERR12074354	matched	direct_accession	ERR12074354	Buchwald2024
ERR12074356	matched	direct_accession	ERR12074356	Buchwald2024
ERR12074357	matched	direct_accession	ERR12074357	Buchwald2024
ERR12074358	matched	direct_accession	ERR12074358	Buchwald2024
ERR12074359	matched	direct_accession	ERR12074359	Buchwald2024
