genome,condition,bias_5prime,bias_3prime,n_replicates,mean_r2,sd_between_replicates,ci95_lower,ci95_upper
human,b055_050,0.55,0.5,2,0.5,0.0,0.5,0.5
human,b070_050,0.7,0.5,2,0.5,0.0,0.5,0.5
human,b080_050,0.8,0.5,2,0.5,0.0,0.5,0.5
human,b090_050,0.9,0.5,2,0.5,0.0,0.5,0.5
human,b100_050,1.0,0.5,2,0.5,0.0,0.5,0.5
human,b100_100,1.0,1.0,2,0.5,0.0,0.5,0.5
human,random,0.5,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b055_050,0.55,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b070_050,0.7,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b080_050,0.8,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b090_050,0.9,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b100_050,1.0,0.5,2,0.5,0.0,0.5,0.5
pseudomonas,b100_100,1.0,1.0,2,0.5,0.0,0.5,0.5
pseudomonas,random,0.5,0.5,2,0.5,0.0,0.5,0.5
